(True/False) Machine Learning is a subset of Artificial Intelligence,"['False', 'True']",['True']
What concept/s under Probabilistic View is/are True?,"['We can derive the posterior probability by knowing the probability of target and the prior distribution.', 'The prior distribution is derived from independent draws of a prior coefficient density function that we choose when regularizing.', 'L2 (ridge) regularization imposes a Gaussian prior on the coefficients, while L1 (lasso) regularization imposes a Laplacian prior.', 'All of the above']",['All of the above']
What statement is True?,"['We reduce the complexity of the model by minimizing the error on our training set.', 'By penalizing the cost function, we increase the complexity of the model.', 'The goal of Regularization is always going to be to optimize our complexity trade off, so we can minimize error on the hold-out set.', 'Introducing Regularization will increase bias and variance.']",['We reduce the complexity of the model by minimizing the error on our training set.']
Which statement about Logistic Regression is TRUE?,"['Logistic Regression is a generalized linear model.', 'Logistic Regression models can only predict variables with 2 classes.', 'Logistic Regression models can be used for classification but not for regression.', 'Logistic Regression models can be used for regression but not for classification.']",['Logistic Regression is a generalized linear model.']
"(True/False) Logistic regression is similar to a linear regression, except that it uses a logistic function to estimate probabilities of an observation belonging to a certain class or category.","['True', 'False']",['True']
Usually the first step to fit a logistic regression model using scikit learn is to:,"['import logistic regression from the sklearn.linear_model module

e.g. from sklearn.linear_model import LogisticRegression', 'import Logistic from the sklearn.regression module

e.g. from sklearn.regression import Logistic', 'import Logistic from the sklearn.linear_regression module

e.g. from sklearn.linear_regression import Logistic', 'import logistic regression from the sklearn.linearclassifer module

e.g. from sklearn.linearclassifer import LogisticRegression']","['import logistic regression from the sklearn.linear_model module

e.g. from sklearn.linear_model import LogisticRegression']"
The output of a logistic regression model applied to a data sample _____________.,"['is the probability of the sample being in a certain class.', 'tells you the odds of the sample belonging to a certain class.', 'tells you which class the sample belongs to.', 'is the log odds of the sample, which you can use for interpretive purposes.']",['is the probability of the sample being in a certain class.']
"Describe how any binary classification model can be extended from its basic form on two classes, to work on multiple classes.","['Use process of elimination to discard any unimportant classes.', 'Use a one-versus all technique, where for each class you fit a binary classifier to that class versus all of the other classes.', 'Use the coefficients from a linear regression model to weight the classes.', 'Fit the binary classifier to all of the classes simultaneously.']","['Use a one-versus all technique, where for each class you fit a binary classifier to that class versus all of the other classes.']"
Which tool is most appropriate for measuring the performance of a classifier on unbalanced classes?,"['The precision-recall curve.', 'The Receiver Operating Characteristic (ROC) curve.', 'The false positive rate.', 'The true positive rate.']",['The precision-recall curve.']
(True/False) One of the requirements of logistic regression is that you need a variable with two classes.,"['True', 'False']",['False']
(True/False) The shape of ROC curves are the leading indicator of an overfitted logistic regression.,"['True', 'False']",['False']
"Consider this scenario for Questions 3 to 7.

You are evaluating a binary classifier. There are 50 positive outcomes in the test data, and 100 observations. Using a 50% threshold, the classifier predicts 40 positive outcomes, of which 10 are incorrect.

What is the classifier’s Precision on the test sample?","['25%', '60%', '75%', '80%']",['75%']
"Consider this scenario for Questions 3 to 7.

You are evaluating a binary classifier. There are 50 positive outcomes in the test data, and 100 observations. Using a 50% threshold, the classifier predicts 40 positive outcomes, of which 10 are incorrect.

What is the classifier’s Recall on the test sample?","['25%', '60%', '75%', '80%']",['60%']
"Consider this scenario for Questions 3 to 7.

You  are evaluating a binary classifier. There are 50 positive outcomes in  the test data, and 100 observations. Using a 50% threshold, the  classifier predicts 40 positive outcomes, of which 10 are incorrect.

What is the classifier’s F1 score on the test sample?","['50%', '66.7%', '67.5%', '70%']",['66.7%']
"Consider this scenario for Questions 3 to 7.

You  are evaluating a binary classifier. There are 50 positive outcomes in  the test data, and 100 observations. Using a 50% threshold, the  classifier predicts 40 positive outcomes, of which 10 are incorrect.

Increasing the threshold to 60% results in 5 fewer positive predictions, all of which are correct. Which of the following statements about this new model (compared with the original model that had a 50% threshold) is TRUE?","['The F1 score of the classifier would decrease.', 'The area under the ROC curve would decrease.', 'The F1 score of the classifier would remain the same.', 'The area under the ROC curve would remain the same.']",['The area under the ROC curve would remain the same.']
"Consider this scenario for Questions 3 to 7.

You are evaluating a binary classifier. There are 50 positive outcomes in  the test data, and 100 observations. Using a 50% threshold, the  classifier predicts 40 positive outcomes, of which 10 are incorrect.

The threshold is now increased further, to 70%. Which of the following statements is TRUE?","['The Recall of the classifier would Increase.', 'The Precision of the classifier would decrease.', 'The Recall of the classifier would increase or remain the same.', 'The Precision of the classifier would increase or remain the same.']",['The Precision of the classifier would increase or remain the same.']
(True/False) A simplified way to interpret K Nearest Neighbors is by thinking of the output of this method as a decision boundary which is then used to classify new points.,"['True', 'False']",['True']
These are all characteristics of the k nearest neighbors algorithm EXCEPT:,"['It is sensitive to scaling', 'It determines decision boundaries to make predictions', 'It determines the value for k', 'It is well suited to predict variables with multiple classes']",['It determines the value for k']
(True/False) An advantage of k nearest neighbor methods is that they can leverage categorical data without encoding.,"['True', 'False']",['False']
Usually the first step to fit a k nearest neighbor classifier using scikit learn is to:,"['import KNN from the sklearn.knearestneighbors module

e.g. from sklearn.knearestneighbors import KNN', 'import KneighborsClassifier from the sklearn.neighbors module

e.g. from sklearn.neighbors import KNeighborsClassifier', 'import Classifier from the sklearn.nearestneighbors module

e.g. from sklearn.nearestneighbors import Classifier', 'import KNNClassifier from the sklearn.knearestneighbors module

e.g. from sklearn.knearestneighbors import KNNClassifier']","['import KneighborsClassifier from the sklearn.neighbors module

e.g. from sklearn.neighbors import KNeighborsClassifier']"
Which one of the following statements is true regarding K Nearest Neighbors?,"['The Manhattan distance between two data points is the square root of the sum of the squares of the differences between the individual feature values of the data points.', 'For high dimensional data, the best distance measure to use for KNN is the Euclidean distance.', 'K Nearest Neighbors (KNN) assumes that points which are close together are similar.', 'The distance between two data points is independent of the scale of their features.']",['K Nearest Neighbors (KNN) assumes that points which are close together are similar.']
Which one of the following statements is most accurate?,"['K nearest neighbors (KNN) needs to remember the entire training dataset in order to classify a new data sample.', 'KNN determines which points are closest to a given data point, so it doesn’t take long to actually perform prediction.', 'KNN only needs to remember the hyperplane coefficients to classify a new data sample.', 'Linear regression needs to remember the entire training dataset in order to make a prediction for a new data sample.']",['K nearest neighbors (KNN) needs to remember the entire training dataset in order to classify a new data sample.']
Which one of the following statements is most accurate about K Nearest Neighbors (KNN)?,"['KNN is a regression model.', 'KNN is an unsupervised learning method.', 'KNN is a classification model.', 'KNN can be used for both classification and regression.']",['KNN can be used for both classification and regression.']
(True/False) K Nearest Neighbors with large k tend to be the best classifiers.,"['True', 'False']",['False']
"When building a KNN classifier for a variable with 2 classes, it is advantageous to set the neighbor count k to an odd number.","['True', 'False']",['True']
The Euclidean distance between two points will always be shorter than or equal to the Manhattan distance.,"['True', 'False']",['True']
The main purpose of scaling features before fitting a k nearest neighbor model is to:,"['Ensure decision boundaries have roughly the same size for all classes', 'Ensure that features have similar influence on the distance calculation', 'Help find the appropriate value of k', 'Break ties in case there is the same number of neighbors of different classes next to a given observation']",['Ensure that features have similar influence on the distance calculation']
These are all pros of the k nearest neighbor algorithm EXCEPT:,"['It is simple to implement as it does not require parameter estimation', 'It is sensitive to the curse of dimensionality', 'It is easy to interpret', 'It adapt wells to new training data']",['It is sensitive to the curse of dimensionality']
"All of these are characteristics of SVMs, EXCEPT:","['Support Vector Machines do not return predicted probabilities.', 'Support Vector Machines use decision boundaries for classification.', 'The algorithm behind Support Vector Machines calculates hyperplanes that minimize misclassification error.', 'Support Vector Machine models are non-linear.']",['Support Vector Machine models are non-linear.']
(True/False) SVMs calculate predicted probabilities in the range between 0 and 1.,"['True', 'False']",['False']
(True/False) Any linear model can be turned into a non-linear model by applying a kernel to the model,"['True', 'False']",['True']
(True/False) SVMs with kernels are recommended for large data sets with many features,"['True', 'False']",['False']
Usually the first step to fit a support vector machine classifer model using scikit learn is to:,"['import svm from the sklearn.svm module

e.g. from sklearn.svm import svm', 'import SVM from the sklearn.classifer module

e.g. from sklearn.classifier import SVM', 'import SVC from the sklearn.svm module

e.g. from sklearn.svm import SVC', 'import support vector classifier from the sklearn.svms module

e.g. from sklearn.svms import supportvectorclassifer']","['import SVC from the sklearn.svm module

e.g. from sklearn.svm import SVC']"
Select the TRUE statement regarding the cost function for SVMs:,"['SVMs do not use a cost function. They use regularization instead of a cost function.', 'SVMs use a loss function that penalizes vectors prone to misclassification', 'SVMs use same loss function as logistic regression', 'SVMs use the Hinge Loss function as a cost function']",['SVMs use the Hinge Loss function as a cost function']
Which statement about Support Vector Machines is TRUE?,"['Support Vector Machine models are non-linear.', 'Support Vector Machine models rarely overfit on training data.', 'Support Vector Machine models can be used for classification but not for regression.', 'Support Vector Machine models can be used for regression but not for classification.']",['Support Vector Machine models rarely overfit on training data.']
(True/False) A large c term will penalize the SVM coefficients more heavily.,"['True', 'False']",['False']
Regularization in the context of support vector machine (SVM) learning is meant to _________________.,"['bring all features to a common scale to ensure they have equal weight', 'encourage the model to ignore outliers during training', 'smooth the input data to reduce the chance of overfitting', 'lessen the impact that some minor misclassifications have on the cost function']",['lessen the impact that some minor misclassifications have on the cost function']
Support vector machines can be extended to work with nonlinear classification boundaries by ___________________.,"['projecting the feature space onto a lower dimensional space', 'modifying the standard sigmoid function', 'incorporating polynomial regression', 'using the kernel trick']",['using the kernel trick']
Select the image that displays the line at the optimal point in the phone usage that the data can be split to create a decision boundary.,"['static/img/2.png', 'static/img/3.png', 'static/img/4.png', 'static/img/5.png']",['static/img/5.png']
"The below image shows the decision boundary with a clear margin, such decision boundary belongs to what type machine learning model? [Image:static/img/10.png]","['Support Vector Machine', 'Machine Learning', 'Support Version Machine', 'Super Vector Machine']",['Support Vector Machine']
"SVM with kernals can be very slow on large datasets. To speed up SVM training, which methods may you perform to map low dimensional data into high dimensional beforehand?","['RBF Sampler', 'Nystroem', 'Regularization', 'Linear SVC']","['RBF Sampler', 'Nystroem']"
"Concerning the Machine Learning workflow what model choice would you pick if you have ""Few"" features and a ""Medium"" amount of data?","['Simple, Logistic or LinearSVC', 'LinearSVC, or Kernal Approximation', 'Add features, or Logistic', 'SVC with RBF']",['SVC with RBF']
Select the image that best displays the line that separates the classes.,"['static/img/6.png', 'hstatic/img/6.png', 'static/img/6.png', 'static/img/6.png']",['static/img/6.png']
Which of the following statements about Decision Tree models is TRUE?,"['Decision Tree models are non-linear.', 'Decision Tree models rarely overfit on training data.', 'Decision Tree models can be used for classification but not for regression.', 'Decision Tree models can be used for regression but not for classification.']",['Decision Tree models are non-linear.']
(True/False) Decision Trees are considered a greedy algorithm.,"['True', 'False']",['True']
Usually the first step to fit a decision tree classifier using scikit learn is to:,"['import decision tree from the sklearn.tree module

e.g. from sklearn.tree import DecisionTree', 'import classifier from the decision tree module

e.g. from sklearn.decisiontree import Classifier', 'import decision tree classifier from the sklearn.tree module

e.g. from sklearn.tree import DecisionTreeClassifier', 'import tree classifier sklearn.decisiontree module

e.g. from sklearn.decisiontree import TreeClassifier']","['import decision tree classifier from the sklearn.tree module

e.g. from sklearn.tree import DecisionTreeClassifier']"
"These are all characteristics of decision trees, EXCEPT:","['They split nodes into leaves', 'They segment data based on features to predict results', 'They can be used for either classification or regression', 'They have well rounded decision boundaries']",['They have well rounded decision boundaries']
"Decision trees used as classifiers compute the value assigned to a leaf by calculating the ratio: number of observations of one class divided by the number of observations in that leaf E.g. number of customers that are younger than 50 years old divided by the total number of customers.How are leaf values calculated for regression decision trees?","['median value of the predicted variable', 'mode value of the predicted variable', 'average value of the predicted variable', 'weighted average value of the predicted variable']",['average value of the predicted variable']
These are two main advantages of decision trees:,"['They output both parameters and significance levels', 'They are very visual and easy to interpret', 'They do not tend to overfit and are not sensitive to changes in data', 'They are resistant to outliers and output scaled features']",['They are very visual and easy to interpret']
How can you determine the split for each node of a decision tree?,"['Find the split that induces the largest entropy.', 'Randomly select the split.', 'Find the split that minimizes the gini impurity.', 'Use a nonlinear decision boundary to find the best split.']",['Find the split that minimizes the gini impurity.']
Which of the following describes a way to regularize a decision tree to address overfitting?,"['Reduce the information gain.', 'Increase the max depth.', 'Decrease the max depth.', 'Increase the number of branches.']",['Decrease the max depth.']
What is a disadvantage of decision trees?,"['Scaling is required.', 'They tend to overfit.', 'They can get too large.', 'They are difficult to interpret.']",['They tend to overfit.']
What method can you use to minimize overfitting of a machine learning model?,"['Increase the variance of your training data.', 'Decrease the variance of your test data.', 'Choose the hyperparameters that maximize goodness of fit on your training data.', 'Tune the hyperparameters of your model using cross-validation.']",['Tune the hyperparameters of your model using cross-validation.']
"Concerning Classification algorithms, what is a characteristic of K-Nearest Neighbors?","['Training data is the model', 'The model is just parameters', 'Fitting can be slow', 'Prediction is fast']",['Training data is the model']
"Concerning Classification algorithms, what are the characteristics of Logistic Regression?","['The model is just parameters, fitting is fast, prediction is fast, and the decision boundary is flexible', 'The training data is the model, fitting is fast, predicting class for new records can be slow, and the decision boundary is flexible', 'The model is just parameters, fitting can be slow, prediction is fast, and the decision boundary is simple and less flexible', 'The training data is the model, fitting is fast, prediction is fast, and the decision boundary is flexible']","['The model is just parameters, fitting can be slow, prediction is fast, and the decision boundary is simple and less flexible']"
When evaluating all possible splits of a decision tree what can be used to find the best split regardless of what happened in prior or future steps?,"['Classification', 'Greedy Search', 'Regularization', 'Logistic regression']",['Greedy Search']
(True/False) A model that averages the predictions of multiple models reduces the variance of a single model and has high chances to generalize well when scoring new data.,"['True', 'False']",['True']
(True/False) Bagging is a tree ensemble that combines the prediction of several trees that were trained on bootstrap samples of the data.,"['True', 'False']",['True']
"(True/False) In general, a random forest can be considered a special case of bagging and it tends to have better out of sample accuracy","['True', 'False']",['True']
Usually the first step to fit a random forest classifier model using scikit learn is to:,"['import classifier ensemble from the sklearn.random forest module

e.g. from sklearn.randomforest import ClassifierEnsemble', 'import random forest from the sklearn.classifierensemble module

e.g. from sklearn.classifierensemble import RandomForest', 'import classifer from the sklearn.randomforest module

e.g. from sklearn.randomforest import Classifer', 'import random forest classifer from the sklearn.ensemble module

e.g. from sklearn.ensemble import RandomForestClassifer']","['import random forest classifer from the sklearn.ensemble module

e.g. from sklearn.ensemble import RandomForestClassifer']"
Usually the first step to fit a bagging classifier model using scikit learn is to:,"['import classifier ensemble from the sklearn.Gagging module

e.g. from sklearn.bagging import ClassifierEnsemble', 'import bagging classifier from the sklearn.ensemble module

e.g. from sklearn.ensemble import BaggingClassifier', 'import bagging from the sklearn.classifierensemble module

e.g. from sklearn.classifierensemble import Bagging', 'import classifier from the sklearn.bagging module

e.g. from sklearn.bagging import Classifier']","['import bagging classifier from the sklearn.ensemble module

e.g. from sklearn.ensemble import BaggingClassifier']"
(True/False) Bagging tends to have less overfitting than decision trees.,"['True', 'False']",['True']
(True/False) Boosting tend to be well suited for data sets with outliers and rare events.,"['True', 'False']",['True']
"All of these are characteristics of boosting algorithms, EXCEPT:","['They use the entire data set, not only bootstrapped samples', 'They use residuals from previous models', 'They create trees iteratively', 'They create trees independently']",['They create trees independently']
Usually the first step to fit a gradient boosting classifier model using scikit learn is to:,"['import classifier ensemble from the sklearn.GradientBoosting module

e.g. from sklearn.gradientboosting import ClassifierEnsemble', 'import gradient boosting from the sklearn.classifierensemble module

e.g. from sklearn.classifierensemble import GradientBoosting', 'import gradient boosting classifier from the sklearn.ensemble module

e.g. from sklearn.ensemble import GradientBoostingClassifier', 'import classifier from the sklearn.gradientboosting module

e.g. from sklearn.gradientboosting import Classifier']","['import gradient boosting classifier from the sklearn.ensemble module

e.g. from sklearn.ensemble import GradientBoostingClassifier']"
"(True/False) If you were to combine several logistic regressions using a voting ensemble, you should use a Voting Regressor.","['True', 'False']",['False']
The term Bagging stands for bootstrap aggregating.,"['True', 'False']",['True']
This is the best way to choose the number of trees to build on a Bagging ensemble.,"['Choose a number of trees past the point of diminishing returns', 'Tune number of trees as a hyperparameter that needs to be optimized', 'Choose a large number of trees, typically above 100', 'Prioratize training error metrics over out of bag sample']",['Tune number of trees as a hyperparameter that needs to be optimized']
Which type of Ensemble modeling approach is NOT a special case of model averaging?,"['Boosting methods', 'The Pasting method of Bootstrap aggregation', 'The Bagging method of Bootstrap aggregation', 'Random Forest methods']",['Boosting methods']
What is an ensemble model that needs you to look at out of bag error?,"['Random Forest', 'Stacking', 'Out of Bag Regression', 'Logistic Regression.']",['Random Forest']
What is the main condition to use stacking as ensemble method?,"['Models need to be nonparametric', 'Models need to output predicted probabilities', 'Models need to be parametric', 'Models need to output residual values for each class']",['Models need to output predicted probabilities']
This tree ensemble method only uses a subset of the features for each tree:,"['Bagging', 'Random Forest', 'Stacking', 'Adaboost']",['Random Forest']
Order these tree ensembles in order of most randomness to least randomness:,"['Random Forest, Random Trees, Bagging', 'Bagging, Random Forest, Random Trees', 'Random Forest, Bagging, Random Trees', 'Random Trees, Random Forest, Bagging']","['Random Trees, Random Forest, Bagging']"
"This is an ensemble model that does not use bootstrapped samples to fit the base trees, takes residuals into account, and fits the base trees iteratively:","['Random Trees', 'Bagging', 'Boosting', 'Random Forest']",['Boosting']
"When comparing the two ensemble methods Bagging and Boosting, what is one characteristic of Boosting?","['Only data points are considered', 'Fits entire data set', 'No weighting used', 'Bootstraped samples']",['Fits entire data set']
What is the most frequently discussed loss function in boosting algorithms?,"['Gradient Boosting Loss Function', 'AdaBoost Loss Function', 'Gradient Loss Function', '0-1 Loss Function']",['0-1 Loss Function']
What type of forest is a classification algorithm that potentially contains hundreds of different decision trees?,"['Global Forest', 'Model Forest', 'The Multiple Forest', 'Random Forest']",['Random Forest']
When describing models what type of model will feature coefficients help to explain?,"['KNN', 'Linear Model', 'SVM', 'Global Surrogate model']",['Linear Model']
What type of surrogate model tries to approximate a black-box model globally on every instance in the data set?,"['Strategic Surrogate model', 'Complex Surrogate model', 'Local Surrogate model', 'Global Surrogate model']",['Global Surrogate model']
These are all methods of dealing with unbalanced classes EXCEPT:,"['Downsampling.', 'Mix of in-sample and out-of-sample.', 'Mix of downsampling and upsampling.', 'Upsampling.']",['Mix of in-sample and out-of-sample.']
"(True/False) A best practice to build a model using unbalanced classes is to split the data first, then apply an upsample or undersample technique.","['True', 'False']",['True']
Which of the following statements about Downsampling is TRUE?,"['Downsampling preserves all the original observations.', 'Downsampling is likely to decrease Recall.', 'Downsampling is likely to decrease Precision.', 'Downsampling results in excessive focus on the more frequently-occurring class.']",['Downsampling is likely to decrease Precision.']
Which of the following statements about Random Upsampling is TRUE?,"['Random Upsampling generates observations that were not part of the original data.', 'Random Upsampling will generally lead to a higher F1 score.', 'Random Upsampling results in excessive focus on the more frequently-occurring class.', 'Random Upsampling preserves all original observations.']",['Random Upsampling preserves all original observations.']
Which of the following statements about Synthetic Upsampling is TRUE?,"['Synthetic Upsampling results in excessive focus on the more frequently-occurring class.', 'Synthetic Upsampling uses fewer hyperparameters than Random Upsampling.', 'Synthetic Upsampling will generally lead to a higher F1 score.', 'Synthetic Upsampling generates observations that were not part of the original data.']",['Synthetic Upsampling generates observations that were not part of the original data.']
What can help humans to interpret the behaviors and methods of Machine Learning models more easily?,"['Model Trust', 'Model Debug', 'Explanation Debug', 'Model Explanations']",['Model Explanations']
What type of explanation method can be used to explain different types of Machine Learning models no matter the model structures and complexity?,"['Model-Agnostic Explanations', 'Model Trust Explanations', 'Local Interpretable Model-Agnostic Explanations (LIME)', 'Model Explanations']",['Model-Agnostic Explanations']
What reason might a Global Surrogate model fail?,"['Single data instance groups', 'Large inconsistency between surrogate models and black-box models', 'Consistency between surrogate models and black-box models', 'Single clusters in the data instance groups']",['Large inconsistency between surrogate models and black-box models']
"When working with unbalanced sets, what should be done to the samples so the class balance remains consistent in both the train and test set?","['Use oversampling', 'Apply weighted observations', 'Use a combination of oversampling and undersampling', 'Stratify the samples']",['Stratify the samples']
What approach are you using when trying to increase the size of a minority class so that it is similar to the size of the majority class?,"['Random Oversampling', 'Oversampling', 'Undersampling', 'Synthetic Oversampling']",['Oversampling']
What approach are you using when you create a new sample of a minority class that does not yet exist?,"['Weighting', 'Random Oversampling', 'Synthetic Oversampling', 'Oversampling']",['Synthetic Oversampling']
What intuitive technique is used for unbalanced datasets that ensures a continuous downsample for each of the bootstrap samples?,"['Downsampling', 'SMOTE', 'Upsampling', 'Blagging']",['Blagging']
Which statement about unsupervised algorithms is TRUE?,"['Unsupervised algorithms are relevant when we have outcomes we are trying to predict.', 'Unsupervised algorithms are relevant when we don’t have the outcomes we are trying to predict and when we want to break down our data set into smaller groups.', 'Unsupervised algorithms are typically used to forecast time related patterns like stock market trends or sales forecasts.', 'Unsupervised algorithms are relevant in cases that require explainability, for example comparing parameters from one model to another.']",['Unsupervised algorithms are relevant when we don’t have the outcomes we are trying to predict and when we want to break down our data set into smaller groups.']
What is one of the real-world solutions to fix the problems of the curse dimensionality?,"['Increase the size of the data set', 'Use more computational power', 'Reduce the dimension of the data set.', 'Balance the classes of a data set']",['Reduce the dimension of the data set.']
Which statement is a common use of Dimension Reduction in the real world?,"['Image tracking', 'Explaining the relation between the amount of alcohol consumption and diabetes.', 'Deep Learning', 'Predicting whether a customer will return to a store to make a major purchase.']",['Image tracking']
Which of the following statements best describes the iterative part of the K-means algorithm?,"['The k-means algorithm assigns a number of clusters at random.', 'The k-means algorithm adjusts the centroids to the new mean of each cluster, and then it keeps repeating this process until no example is assigned to another cluster.', 'The k-means algorithm iteratively deletes outliers.', 'The k-means algorithm iteratively calculates the distance from each point to the centroid of each cluster.']","['The k-means algorithm adjusts the centroids to the new mean of each cluster, and then it keeps repeating this process until no example is assigned to another cluster.']"
Which statement describes better “the smarter initialization of K-mean clusters?,"['“Draw a line between the data points to create 2 big clusters.”', '“After we find our centroids, we calculate the distance between all our data points.”', '“Pick one random point, as initial point, and for the second point, instead of picking it randomly, we prioritize by assigning the probability of the distance.”', '“We start by having two centroids as far as possible between each other.”']","['“Pick one random point, as initial point, and for the second point, instead of picking it randomly, we prioritize by assigning the probability of the distance.”']"
What happens with our second cluster centroid when we use the probability formula?,"['When we use the probability formula, we put less weight on the points that are far away. So, our second cluster centroid is likely going to be closer.', 'When we use the probability formula, we put more weight on the points that are far away. So, our second cluster centroid is likely going to be more distant.', 'When we use the probability formula, we put more weight on the lighter centroids, because it will take more computational power to draw our clusters. So, the second cluster centroid is likely going to be less distant.', 'When we use the probability formula, we put less weight on the points that are far away. So, our second cluster centroid is likely going to be more distant.']","['When we use the probability formula, we put more weight on the points that are far away. So, our second cluster centroid is likely going to be more distant.']"
What is the implication of a small standard deviation of the clusters?,"['A small standard deviation of the clusters defines the size of the clusters.', 'The standard deviation of the cluster defines how tightly around each one of the centroids are. With a small standard deviation, the points will be closer to the centroids.', 'The standard deviation of the cluster defines how tightly around each one of the centroids are. With a small standard deviation, we can’t find any centroids.', 'A small standard deviation of the clusters means that the centroids are not close enough to each other.']","['The standard deviation of the cluster defines how tightly around each one of the centroids are. With a small standard deviation, the points will be closer to the centroids.']"
"After we plot our elbow and we find the inflection point, what does that point indicate to us?","['The ideal number of clusters.', 'The data points we need to form a cluster', 'How we can reduce our number of clusters.', 'Whether we need to remove outliers.']",['The ideal number of clusters.']
What is one of the most suitable ways to choose K when the number of clusters is unclear?,"['You can start by choosing a random number of clusters.', 'By evaluating Clustering performance such as Inertia and Distortion.', 'By increasing the number of clusters calculating the square root.', 'You can start by using a k nearest neighbor method.']",['By evaluating Clustering performance such as Inertia and Distortion.']
Which statement describes correctly the use of distortion and inertia?,"['When the sum of the points  equals a prime number, use inertia, and when the sum of the points equals a pair number, use distortion.', 'When  we can calculate a number of clusters higher than 10, we use distortion, when we calculate a number of clusters smaller than 10, we use inertia.', 'When outliers are a concern use inertia, otherwise use distortion.', 'When the similarity of the points in the cluster are more important, you should use distortion, and if you are more concerned that clusters have similar numbers of points, then you should use inertia.']","['When the similarity of the points in the cluster are more important, you should use distortion, and if you are more concerned that clusters have similar numbers of points, then you should use inertia.']"
Which method is commonly used to select the right number of clusters?,"['The elbow method.', 'The ROC curve.', 'The perfect Square Method', 'The Sum of Square Method']",['The elbow method.']
What is the other name we can give to the L1 distance?,"['Hamming Distance', 'Euclidean Distance', 'Manhattan Distance', 'Mahalanobis Distance']",['Manhattan Distance']
What is the key feature for the Jaccard Distance?,"['It takes into acount the angle between 2 points.', 'It is obtained by adding up the absolute value of each term.', 'It describes distance by squaring each term, adding and squaring them.', 'It looks at the difference and similarities for sets of values.']",['It looks at the difference and similarities for sets of values.']
What is an advantage of the L1 distance over L2?,"['It  shows the difference between sets of values.', 'It can better handle high dimensional data.', ""It's useful for coordinate based measurements."", ""It's better for data where location of occurrence is less important.""]",['It can better handle high dimensional data.']
What is the other name we can give to the L2 distance?,"['Manhattan Distance', 'Euclidean Distance', 'Mahalanobis Distance', 'Hamming Distance']",['Euclidean Distance']
Which of the following statements is a business case for the use of the Manhattan distance (L1)?,"['We use it in business cases with outliers.', 'We use it in business cases where there is low dimensionality.', 'We use it in business cases where there is very high dimensionality.', 'We use it in business cases where the dimensionality is unknown.']",['We use it in business cases where there is very high dimensionality.']
What is the key feature for the Cosine Distance?,"['It is not sensitive to the size of the data set.', 'The size of the curve.', 'It is sensitive to the size of the data set.', 'The Cosine Distance, which takes into acount the angle between 2 points.']","['The Cosine Distance, which takes into acount the angle between 2 points.']"
The following statement is an example of a business case where we can use the Cosine Distance?,"['Cosine is better for data such as text where location of occurrence is less important.', 'Cosine distance is less sensitive to the curse of dimensionality', 'Cosine distance is more sensitive to the curse of dimensionality', 'Cosine is useful for coordinate based measurements.']",['Cosine is better for data such as text where location of occurrence is less important.']
Which distance metric is useful when we have text documents and we want to group similar topics together?,"['Mahalanobis Distance', 'Euclidean', 'Jaccard', 'Manhattan Distance']",['Jaccard']
Why do we need a stopping criterion when we are using the HAC?,"['The algorithm will turn our data into small clusters.', 'The algorithm will turn our data into just one cluster.', 'The algorithm will not start working if we don’t assign a number of clusters.', 'The stopping criterion ensures centroids are calculated correctly.']",['The algorithm will turn our data into just one cluster.']
"According to the DBSCAN required inputs, which statement describes the n_clu input?","[""It's the function to calculate distance."", ""It's the radius of local neighborhood."", 'It determines density threshold (for fixed Ɛ) (The minimum amount of points for a particular point to be consider a core point of a cluster).', ""It's the maximum amount of observations for a particular point to be consider a core point of a cluster.""]",['It determines density threshold (for fixed Ɛ) (The minimum amount of points for a particular point to be consider a core point of a cluster).']
How is a core point defined in the DBSCAN algorithm?,"['A point that has no points in its Ɛ-neighborhood.', 'A point that has the same amount of n_clu neighbors within and outside the Ɛ-neighborhood.', 'An Ɛ-neighbor point than has fewer than n_clu neighbors itself.', 'A point that has more than n_clu neighbors in their Ɛ-neighborhood.']",['A point that has more than n_clu neighbors in their Ɛ-neighborhood.']
Which of the following statements is a characteristic of the DBSCAN algorithm?,"['Can handle tons of data and weird shapes.', 'Finds uneven cluster sizes (one is big, some are tiny).', 'It will do a great performance finding many clusters.', 'It will do a great performance finding few clusters.']",['Can handle tons of data and weird shapes.']
Which of the following statements is a characteristic of the Hierarchical Clustering (Ward) algorithm?,"['If we use a mini batch to find our centroids and clusters this will find our clusters fairly quickly.', 'It offers a lot of distance metrics and linkage options.', 'Too small epsilon (too many clusters) is not trustworthy.', 'Too large epsilon (too few clusters) is not trustworthy.']",['It offers a lot of distance metrics and linkage options.']
Which of the following statements is a characteristic of the Mean Shift algorithm?,"['Does not require to set the number of clusters; the number of clusters will be determined.', 'Bad with non-spherical cluster shapes.', 'You need to decide the number of clusters on your own, choosing the numbers directly or the minimum distance threshold.', 'Good with non-spherical cluster shapes.']",['Does not require to set the number of clusters; the number of clusters will be determined.']
"When using DBSCAN, how does the algorithm determine that a cluster is complete and is time to move to a different point of the data set and potentially start a new cluster?","['When the algorithm requires you to change the input.', 'When the algorithm forms a new cluster using the outliers.', 'When no point is left unvisited by the chain reaction.', 'When the solution converges to a single cluster.']",['When no point is left unvisited by the chain reaction.']
